"","MSSubClass","LotArea","OverallQual","OverallCond","YearRemodAdd","BsmtFinSF1","BsmtUnfSF","X2ndFlrSF","BsmtFullBath","FullBath","HalfBath","BedroomAbvGr","Fireplaces","WoodDeckSF","OpenPorchSF","MoSold","YrSold","logSalePrice","LotFrontage","MasVnrArea","Comp.1","Comp.2","Comp.3","Comp.4","MSZoningOther","MSZoningFV","MSZoningRL","MSZoningRM","AlleyPave","Alleynone","LotShapeIR2","LotShapeOther","LotShapeReg","LandContourHLS","LandContourLow","LandContourLvl","LotConfigCulDSac","LotConfigFR2","LotConfigOther","LotConfigInside","LandSlopeMod","LandSlopeOther","NeighborhoodBrkSide","NeighborhoodClearCr","NeighborhoodCollgCr","NeighborhoodCrawfor","NeighborhoodEdwards","NeighborhoodGilbert","NeighborhoodIDOTRR","NeighborhoodMitchel","NeighborhoodNAmes","NeighborhoodNoRidge","NeighborhoodNridgHt","NeighborhoodNWAmes","NeighborhoodOldTown","NeighborhoodSawyer","NeighborhoodSawyerW","NeighborhoodSomerst","NeighborhoodStoneBr","NeighborhoodSWISU","NeighborhoodTimber","Condition1Feedr","Condition1Norm","Condition1Other","Condition1RRAn","BldgType2fmCon","BldgTypeDuplex","BldgTypeTwnhs","BldgTypeTwnhsE","HouseStyleOther","HouseStyle1Story","HouseStyle2Story","HouseStyleSFoyer","HouseStyleSLvl","RoofStyleGable","RoofStyleHip","RoofMatlCompShg","Exterior1stBrkFace","Exterior1stCemntBd","Exterior1stHdBoard","Exterior1stMetalSd","Exterior1stPlywood","Exterior1stStucco","Exterior1stVinylSd","Exterior1stWd.Sdng","Exterior1stWdShing","Exterior2ndBrkFace","Exterior2ndCmentBd","Exterior2ndHdBoard","Exterior2ndMetalSd","Exterior2ndPlywood","Exterior2ndStucco","Exterior2ndVinylSd","Exterior2ndWd.Sdng","Exterior2ndWd.Shng","ExterQualOther","ExterQualGd","ExterQualTA","ExterCondFa","ExterCondGd","ExterCondTA","FoundationCBlock","FoundationPConc","FoundationSlab","FoundationOther","BsmtQualFa","BsmtQualGd","BsmtQualTA","BsmtQualnone","BsmtCondGd","BsmtCondOther","BsmtCondTA","BsmtCondnone","BsmtExposureGd","BsmtExposureMn","BsmtExposureNo","BsmtExposurenone","BsmtFinType1BLQ","BsmtFinType1GLQ","BsmtFinType1LwQ","BsmtFinType1Rec","BsmtFinType1Unf","BsmtFinType1none","BsmtFinType2BLQ","BsmtFinType2LwQ","BsmtFinType2Rec","BsmtFinType2Unf","BsmtFinType2none","HeatingGasA","HeatingQCFa","HeatingQCGd","HeatingQCOther","HeatingQCTA","CentralAirY","KitchenQualFa","KitchenQualGd","KitchenQualTA","FunctionalMin1","FunctionalMin2","FunctionalTyp","FireplaceQuFa","FireplaceQuGd","FireplaceQuOther","FireplaceQuTA","FireplaceQunone","GarageTypeAttchd","GarageTypeBuiltIn","GarageTypeDetchd","GarageTypenone","GarageFinishRFn","GarageFinishUnf","GarageFinishnone","GarageQualFa","GarageQualTA","GarageQualnone","GarageCondFa","GarageCondTA","GarageCondnone","PavedDriveP","PavedDriveY","FenceGdWo","FenceMnPrv","FenceOther","Fencenone","MiscFeatureShed","MiscFeaturenone","SaleTypeOther","SaleTypeNew","SaleTypeWD","SaleConditionOther","SaleConditionNormal","SaleConditionPartial","MasVnrTypeBrkFace","MasVnrTypeNone","MasVnrTypeStone","ElectricalFuseF","ElectricalOther","ElectricalSBrkr","Id"
"2",-0.872263882191367,-0.0603775764334799,-0.0718115086600481,2.1831962253821,-0.429429824620689,1.21927357517105,-0.641008356851332,-0.794890864438069,-0.819683507644112,0.789470016700575,-0.761359798323593,0.1668290179996,0.600289249736739,1.64147216161351,-0.743950097697768,-0.488942518803767,-0.614228161849104,0.21269153639835,0.540498734110015,-0.615765424106434,-0.0652428696698911,0.271465585510328,0.697270010003335,0.258633174413615,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,-0.405168860489104,0,0,0,0,1,0,0,0,-0.394805010646562,-0.16341548911747,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,2
"3",0.0733498308209929,0.336986567061293,0.651256095779058,-0.518809840504761,0.829930198757056,0.10066282122945,-0.301539658856643,1.18894324305097,1.10743069712304,0.789470016700575,1.22716489855019,0.1668290179996,0.600289249736739,-0.756783335837045,-0.0597297987637598,0.990551942239756,0.138729954271588,0.733795020667512,-0.0739674148490052,0.39586814291393,-0.358987292812938,0.91708541797392,-0.952901310397711,-0.171017860408439,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,-0.405168860489104,0,0,0,0,0,0,0,1,-0.394805010646562,-0.16341548911747,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,3
"4",0.309753259074083,-0.0724189141151397,0.651256095779058,-0.518809840504761,-0.720051368477092,-0.513208933982401,-0.0616484456070629,0.936955076972689,1.10743069712304,-1.02568939177634,-0.761359798323593,0.1668290179996,0.600289249736739,-0.756783335837045,-0.173766515252761,-1.59856336458641,-1.3671862779698,-0.437232150842648,-0.483611514155018,-0.615765424106434,-0.207359122192336,-0.294940192451583,-1.40563089557488,1.85860396499112,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,2.46641626724921,0,0,0,0,0,0,0,0,-0.394805010646562,6.11517961908006,0,0,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,1,4
"5",0.0733498308209929,1.06187509549721,1.37432370021816,-0.518809840504761,0.733056350804922,0.484901068010201,-0.174804678271959,1.61732312538406,1.10743069712304,0.789470016700575,1.22716489855019,1.40322681637227,0.600289249736739,0.788401414198211,0.624490500170249,2.1001727880224,0.138729954271588,1.01430316873646,0.745320783763021,1.56986265278942,-1.43859785636322,-0.0213647060115947,-1.65535304595952,0.548963694613726,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,-0.405168860489104,0,0,0,0,0,0,0,1,-0.394805010646562,-0.16341548911747,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,1,0,0,0,0,1,5
"6",-0.163053597432097,1.0269552162204,-0.794879113099154,-0.518809840504761,0.490871730924586,0.659968198200248,-1.13889578057688,0.501702790110197,1.10743069712304,-1.02568939177634,1.22716489855019,-2.30596657874575,-0.950900669936958,-0.434869846246366,-0.255221312744905,1.36042555750064,0.89168807039228,-0.384153897027244,0.796526296176273,-0.615765424106434,0.197742202804211,1.24061793923185,-0.666467836024434,0.138177700093766,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1,-0.405168860489104,0,0,0,0,0,0,0,1,-0.394805010646562,-0.16341548911747,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,6
"7",-0.872263882191367,0.0561825723249868,1.37432370021816,-0.518809840504761,0.975240970685258,2.10825082068154,-0.5663252432925,-0.794890864438069,1.10743069712304,0.789470016700575,-0.761359798323593,0.1668290179996,0.600289249736739,1.29541516030353,0.184634593712672,0.620678326978875,-0.614228161849104,1.52847482756237,0.284471172043756,0.545739782472503,-1.17387090816674,0.356357948969401,1.06717275273983,-0.750647017357695,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,-0.405168860489104,0,0,0,0,0,0,0,1,-0.394805010646562,-0.16341548911747,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,0,1,0,0,1,7
"9",-0.163053597432097,-0.898454679077001,0.651256095779058,-0.518809840504761,-1.68878984799844,-1.00430633815188,0.870758911551682,0.927791870933479,-0.819683507644112,0.789470016700575,-0.761359798323593,-1.06956878037307,2.15147916941044,-0.0324779842580184,-0.743950097697768,-0.858816134064648,0.138729954271588,-0.624682767255323,-0.944461125874283,-0.615765424106434,0.337919720001076,-1.71975487686414,-0.455919522275177,1.37727341129673,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,-0.405168860489104,0,0,0,0,0,0,0,0,-0.394805010646562,6.11517961908006,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,9
"10",3.14659439811116,-0.585379899353847,-0.794879113099154,0.381858848124194,-1.68878984799844,0.930526490312137,-0.966898306926233,-0.794890864438069,1.10743069712304,-1.02568939177634,-0.761359798323593,-1.06956878037307,2.15147916941044,-0.756783335837045,-0.678786259704053,-1.96843697984729,0.138729954271588,-0.865213121085266,-0.995666638287535,-0.615765424106434,1.22104819171561,-0.568274113602344,1.15545713823155,0.285953915137701,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,-0.405168860489104,0,0,0,0,1,0,0,0,-0.394805010646562,-0.16341548911747,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,10
"11",-0.872263882191367,0.324945229379633,-0.794879113099154,-0.518809840504761,-0.962235988357428,1.05557444044788,-0.980477054846021,-0.794890864438069,1.10743069712304,-1.02568939177634,-0.761359798323593,0.1668290179996,-0.950900669936958,-0.756783335837045,-0.743950097697768,-1.59856336458641,0.138729954271588,-0.632403453480642,0.0284436099774981,-0.615765424106434,0.76538279381748,0.306362373104044,0.827040204355764,-0.0308054016949757,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,1,0,0,0,0,-0.405168860489104,0,0,0,1,0,0,0,0,-0.394805010646562,-0.16341548911747,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,0,1,0,1,0,0,1,0,0,0,1,11
"12",0.0733498308209929,0.499303799010067,2.09739130465727,-0.518809840504761,1.02367789466132,1.26474555703859,-0.88316269475421,1.82120445975649,1.10743069712304,2.60462942517749,-0.761359798323593,1.40322681637227,2.15147916941044,0.426248738408698,-0.401839948230764,0.250804711717995,-1.3671862779698,1.82061683193489,0.796526296176273,1.17020494729989,-1.65081315462917,-0.518129968402613,-2.14949224733803,-0.374562188324562,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,0,0,-0.405168860489104,1,0,0,0,0,0,0,0,-0.394805010646562,6.11517961908006,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,12
